ticker,name,sector,industry,price,market_cap,pe,earnings_growth_pct,peg,debt_to_equity,free_cash_flow,dividend_yield_pct,fair_value_ratio,category,passes_all,rsi,macd_histogram,price_vs_sma50,price_vs_sma200,signal,signal_reason
BESALCO.SN,BESALCO SA,Industrials,Engineering & Construction,1220.1,702988288000,11.5,33.2,0.346,0.475,151185522688.0,376.0,35.591,Fast Grower,True,41.44,-0.8939,-3.57,7.86,COMPRA,Lynch OK + RSI=41.44 (favorable)
CENCOSUD.SN,CENCOSUD SA,Consumer Cyclical,Department Stores,2174.0,5987217440768,21.43,736.5,0.029,104.225,271385575424.0,112.0,39.603,Fast Grower,False,28.85,-7.341,-10.52,-21.93,NEUTRAL,No cumple criterios Lynch. RSI=28.85
RIPLEY.SN,RIPLEY CORP SA,Consumer Cyclical,Department Stores,380.41,736493699072,6.18,115.2,0.054,190.841,106725171200.0,345.0,74.508,Fast Grower,False,30.83,-2.3263,-4.81,-11.62,NEUTRAL,No cumple criterios Lynch. RSI=30.83
LTM.SN,LATAM AIRLINES GROUP SA,Industrials,Airlines,22.4,12862438244352,8.68,70.7,0.123,435.965,1370560000.0,304.0,43.157,Fast Grower,False,36.9,0.0595,-1.35,-3.34,NEUTRAL,No cumple criterios Lynch. RSI=36.9
ANTARCHILE.SN,ANTARCHILE SA,Industrials,Conglomerates,7995.4,3630751809536,8.08,32.9,0.246,84.348,-162307872.0,379.0,50.992,Fast Grower,False,41.49,-3.068,0.45,0.34,NEUTRAL,No cumple criterios Lynch. RSI=41.49
FALABELLA.SN,FALABELLA SA,Consumer Cyclical,Department Stores,5643.0,14157409681408,10.19,22.8,0.447,50.949,989692297216.0,171.0,19.017,Fast Grower,False,44.73,7.5969,-2.8,-2.78,NEUTRAL,No cumple criterios Lynch. RSI=44.73
AGUAS-A.SN,AGUAS ANDINAS S.A.,Utilities,Utilities - Regulated Water,334.49,2046732664832,14.63,29.0,0.505,109.362,-2422737664.0,512.0,36.973,Fast Grower,False,35.75,-1.0163,-2.52,-3.15,NEUTRAL,No cumple criterios Lynch. RSI=35.75
ENELAM.SN,ENEL AMERICAS SA,Utilities,Utilities - Regulated Electric,81.7,8414175952896,9.8,15.6,0.628,1.861,766494144.0,304.0,32.625,Stalwart,False,32.45,-0.4961,0.2,-7.05,NEUTRAL,No cumple criterios Lynch. RSI=32.45
SALFACORP.SN,SALFACORP SA,Industrials,Engineering & Construction,1260.0,692875034624,13.7,21.6,0.634,108.807,-9852037120.0,219.0,17.564,Fast Grower,False,15.53,-15.3266,-2.99,12.81,NEUTRAL,No cumple criterios Lynch. RSI=15.53
PARAUCO.SN,PARQUE ARAUCO SA,Real Estate,Real Estate - Diversified,3668.4,3368409890816,20.74,25.2,0.823,91.202,169537667072.0,147.0,8.302,Fast Grower,False,7.93,-82.8452,-6.83,19.49,NEUTRAL,No cumple criterios Lynch. RSI=7.93
SQM-B.SN,SOCIEDAD QUIMICA Y MINERA DE CH,Basic Materials,Specialty Chemicals,83958.0,23981581139968,45.68,52.3,0.873,59.155,429625760.0,112.0,3.597,Fast Grower,False,68.12,-17.8296,13.28,45.66,NEUTRAL,No cumple criterios Lynch. RSI=68.12
BCI.SN,BANCO DE CREDITO E INVERSIONES,Financial Services,Banks - Regional,58900.0,12875790811136,12.73,5.3,2.403,,,254.0,20.364,Slow Grower,False,34.26,-500.5061,-1.37,13.22,NEUTRAL,No cumple criterios Lynch. RSI=34.26
